ID,Book,chapter,scene,speaker1,speaker2,n_turns,start_dialogue,end_dialogue,words_intervened,name_changes,other_changes,text,comments,translation needs to be checked,random selection,NORSK OVERSETTELSE,SIDETALL I NORSK OVERS.,NORSK 2,correction
OT_37,OT,44,1,Nancy,Sikes,3,,,,,,"""“I’m not well. I told you that before,” rejoined the girl. “I want a breath of air.”
“Put your head out of the winder,” replied Sikes.
“There’s not enough there,” said the girl. “I want it in the street.”""",others are also present,,,"""Jeg føler meg'kke bra. Jeg har sagt deg det før,"" svarte piken. ""Jeg trenger litt frisk luft.""
""Stikk huet ut av vinduet, da, og få det derifra,"" sa Sikes.
""Det er'kke nok der,"" sa piken. ""Jeg vil ha det på gata."" ",439,"""Jeg føler meg'kke bra. Jeg har sagt deg det før. Jeg trenger litt frisk luft.""
""Stikk huet ut av vinduet, da, og få det derifra.""
""Det er'kke nok der. Jeg vil ha det på gata."" ",
OT_36,OT,43,2,Fagin ,Charley,3,,,,yes,,"""“We must know how he gets on to-day, by some handy means or other,” said Fagin. “Let me think.”
“Shall I go?” asked Charley.
“Not for the world,” replied Fagin. “Are you mad, my dear, stark mad, that you’d walk into the very place where—No, Charley, no. One is enough to lose at a time.”""",others are also present,,,"""Vi må finne ut åssen det går med'n i dag på en eller annen måte,"" sa Fagin. ""La meg tenke.""
""Skal jeg gå?"" spurte Charley.
""Ikke for alt i verden,"" svarte jøden. ""Er du sprø, venn min, splitter gærn; vil du spasere rett inn på nettopp det stedet hvor - nei, Charley, nei. Å miste én om gangen får være nok.""",431,"""Vi må finne ut åssen det går med'n i dag på en eller annen måte.  La meg tenke.""
""Skal jeg gå?""
""Ikke for alt i verden. Er du sprø, venn min, splitter gærn; vil du spasere rett inn på nettopp det stedet hvor - nei, Charley, nei. Å miste én om gangen får være nok.""",
OT_30,OT,42,1,Charlotte,Mr. Claypole,4,no,no,yes,yes,no,"“I know I ain’t as cunning as you are; but don’t put all the blame on me, and say I should have been locked up. You would have been if I had been, any way.”
“Yer took the money from the till, yer know yer did.”
“I took it for you, David, dear."" ""Did I keep it?”", Noah=David,,in,"""Jeg veit at jeg er'kke så gløgg som deg,"" svarte Charlotte, ""men ikke legg all skylda på meg og si at jeg hadde blitt bura inn. Det hadde du blitt òg, om dem hadde tatt meg."" ""Det var deg som tok penga fra skuffen, det veit du,"" sa herr Claypole. ""Det var deg jeg tok dem for, kjære Noah,"" svarte Clarotte. ""Beholdt jeg dem kanskje?"" spurte herr Claypole. ",415,"""Jeg veit at jeg er'kke så gløgg som deg, men ikke legg all skylda på meg og si at jeg hadde blitt bura inn. Det hadde du blitt òg, om dem hadde tatt meg.""
""Det var deg som tok penga fra skuffen, det veit du.""
""Det var deg jeg tok dem for, kjære Noah.""
""Beholdt jeg dem kanskje?""
","""veit"" is correct"
OT_06,OT,8,1,young gentleman,Oliver,4,no,yes,yes,no,yes,"“Do you live in Tadlow?“
“Yes. I do, when I’m at home. I suppose you want some place to sleep in tonight, don’t you?” 
“I do, indeed,  I have not slept under a roof since I left the country.” 
“Don’t fret your eyelids on that score. I’ve got to be in Tadlow tonight; and I know a ’spectable old gentleman as lives there, wot’ll give you lodgings for nothink, and never ask for the change—that is, if any genelman he knows interduces you. And don’t he know me? Oh, no! Not in the least! By no means. Certainly not!”","London=Tadlow, gentleman??? NEW",,in,"""Bor du i London?"" ""Gjør så, ja, til hverdags,"" svarte gutten. ""Da trenger du vel en plass å sove i natt, da?"" Det skal være visst,"" sa Oliver. ""Jeg har ikke sovi under tak sia jeg dro."" ""Bare ta det rolig,"" sa gutten. ""Jeg må inn til London i kveld sjøl, og jeg kjenner en 'spektabel gammal herremann som bor der som gir deg losjemang for null blank go aldri krangler om vekslepenga. Altså hvsi at du blir presentert for'n av en'n kjenner. Og trur du'n kjenner meg? Hå nei, ikke i hele tatt, ikke snakk om, nei langt ifra.""",79,"""Bor du i London?"" 
""Gjør så, ja, til hverdags. Da trenger du vel en plass å sove i natt, da?"" 
Det skal være visst. Jeg har ikke sovi under tak sia jeg dro.""
""Bare ta det rolig. Jeg må inn til London i kveld sjøl, og jeg kjenner en 'spektabel gammal herremann som bor der som gir deg losjemang for null blank og aldri krangler om vekslepenga. Altså hvis at du blir presentert for'n av en'n kjenner. Og trur du'n kjenner meg? Hå nei, ikke i hele tatt, ikke snakk om, nei langt ifra.""
","Have corrected ""hvsi"" to ""hvis"" (and ""go"" to ""og""); all the others are correct (sociolect)"
OT_24,OT,39,1,waiter,Nancy,4,no,no,yes,no,no,"“What name am I to say?”
“It’s of no use saying any.”
“Nor business?” 
“No, nor that neither. I must see the lady.”",lady=???? NEW,,in,"""Og hvilket navn skal jeg melde?"" spurte tjeneren. ""Det er'kke nen vits i noe navn,"" svarte Nancy. ""Eller ærende?"" ""Nei, ikke det heller,"" svarte piken. ""Jeg må snakke med dama."" ",392,"""Og hvilket navn skal jeg melde?"" 
""Det er'kke noen vits i noe navn.""
""Eller ærende?"" 
""Nei, ikke det heller. Jeg må snakke med dama.""
",
OT_14,OT,34,1,Mrs. Maylie,Harry,4,no,no,yes,yes,no,"“I did, but, on reflection, I determined to keep back the letter until I had heard Mr. Dustin’s opinion.”
“But why, why run the chance of that occurring which so nearly happened? If Eve had—I cannot utter that word now—if this illness had terminated differently, how could you ever have forgiven yourself! How could I ever have know happiness again!”
“If that had been the case, Alex, I fear your happiness would have been effectually blighted, and that your arrival here, a day sooner or a day later, would have been of very, very little import.”
“And who can wonder if it be so, mother? or why should I say, if?—It is—it is—you know it, mother—you must know it!”","Mr. Losberne=Mr. Dustin, Rose=Eve, Harry=Alex NEW",,in,"""Jeg gjorde det,"" svarte hun, ""men så bestemte jeg meg fo rå vente til jeg hadde hørt hva doktor Losberne sa."" ""Men hvorfor?"" sa den unge mannen. ""Hvorfor risikere det som jo nesten skjedde? Om Rose hadde - nei, jeg kan ikke si det ordet nå - hvis sykdommen hadde utviklet seg annerledes, hvordan kunne du noensinne ha tilgitt deg selv, eller jeg noensinne blitt lykkelig igjen?"" ""Hvis det hadde gått slik, Harry,"" sa fru Maylie, ""er jeg redd din lykke ville blitt knust uansett, og at om du nådde hit en dag før eller en dag senere, ville det betydd svært, svært lite."" ""Og hvem kan undres hvis det er slik, mor?"" svarte den unge mannen. ""Nei, hvorfor sier jeg hvis? Det er jo det - det er det - det vet du, mor - det må du jo vite.""",327-328,"""Jeg gjorde det, men så bestemte jeg meg fo rå vente til jeg hadde hørt hva doktor Losberne sa.""
""Men hvorfor? Hvorfor risikere det som jo nesten skjedde? Om Rose hadde - nei, jeg kan ikke si det ordet nå - hvis sykdommen hadde utviklet seg annerledes, hvordan kunne du noensinne ha tilgitt deg selv, eller jeg noensinne blitt lykkelig igjen?""
 ""Hvis det hadde gått slik, Harry, er jeg redd din lykke ville blitt knust uansett, og at om du nådde hit en dag før eller en dag senere, ville det betydd svært, svært lite.""
""Og hvem kan undres hvis det er slik, mor? Nei, hvorfor sier jeg hvis? Det er jo det - det er det - det vet du, mor - det må du jo vite.""",Both are correct as are (undres; betydd)
OT_25,OT,40,1,Rose,Nancy,4,no,no,yes,yes,yes,"“Why?”
“Because, I am about to put my life and the lives of others in your hands. I am the girl that dragged little Dominic back to old Lambert’s on the night he went out from the house in Hackford.”
“You!” 
“I, ***! I am the infamous creature you have heard of, that lives among the thieves, and that never from the first moment I can recollect my eyes and senses opening on Oxton streets have known any better life, or kinder words than they have given me, so help me God! Do not mind shrinking openly from me, ***. I am younger than you would think, to look at me, but I am well used to it. The poorest women fall back, as I make my way along the crowded pavement.”
","Oliver=Dominic, Fagin=Lambert, lady=***, Pentonville=Hackford, London=Oxton NEW",,in,"""Hvordan det?"" ""For det,"" svarte Nancy, ""at det jeg gjør nå, det er å legge livet mitt, og andres òg, i Des hender. Jeg er den jenta som drassa lille Oliver tilbakers til Fagin, jøden, den kvelden 'n gikk ut fra huset i FEntonville."" ""De!"" sa Rose Maylie. ""Jeg, ja, frøken,"" svarte Nancy. ""Jeg er et sånt berykta vesen Dere har hørt om som menger seg med tjuver, og som aldri, fra første stunda jeg slo opp øya mot London-gatene, har kjent noe bedre liv eller hørt snillere ord enn jeg har øtt der, så hjelpe meg Gud! Så det gjør'kke noe o Dere skvetter og tar avstand fra meg, førken."" Jeg er yngre enn Dere trur etter utseendet, en det er jeg så vant til. Fattige kvinnfolk skvetter unna, de med, når jeg trenger meg mellom dem på et fullt fortau."" ""Hva er det for skrekkelige ting De sier!"" sa Rose og tok uvilkårlig et skritt bort fra den ukjente kvinnen. ",395,"""Hvordan det?"" 
""For det, at det jeg gjør nå, det er å legge livet mitt, og andres òg, i Des hender. Jeg er den jenta som drassa lille Oliver tilbakers til Fagin, jøden, den kvelden 'n gikk ut fra huset i Fentonville."" 
""De!"" 
""Jeg, ja, frøken. Jeg er et sånt berykta vesen Dere har hørt om som menger seg med tjuver, og som aldri, fra første stunda jeg slo opp øya mot London-gatene, har kjent noe bedre liv eller hørt snillere ord enn jeg har møtt der, så hjelpe meg Gud! Så det gjør'kke noe o Dere skvetter og tar avstand fra meg, førken. Jeg er yngre enn Dere trur etter utseendet, en det er jeg så vant til. Fattige kvinnfolk skvetter unna, de med, når jeg trenger meg mellom dem på et fullt fortau."" 
",
OT_41,OT,46,1,gentleman,Nancy,4,,,,yes,,"“You were not here last Sunday night,” he said.
“I couldn’t come,” replied Nancy; “I was kept by force.”
“By whom?”
“Him that I told the young lady of before.”
",others are also present,,,"""De var ikke her sist søndag kveld,"" sa han.
""Jeg kun'kke komme,"" svarte Nancy. ""Jeg blei holdt igjen med makt.""
""Av hvem?""
""Bill - han jeg fortalte om til den unge dama.""",454,"""De var ikke her sist søndag kveld.""
""Jeg kun'kke komme. Jeg blei holdt igjen med makt.""
""Av hvem?""
""Bill - han jeg fortalte om til den unge dama.""",
OT_23,OT,28,1,Mr. Giles,Brittles,5,,,,yes,,"“You are afraid, Brittles,” said Mr. Giles.
“I an’t,” said Brittles.
“You are,” said Giles.
“You’re a falsehood, Mr. Giles,” said Brittles.
“You’re a lie, Brittles,” said Mr. Giles.",others are also present,,,"""Du er redd, Brittles,"" sa herr Giles.
""Nehei,"" sa Brittles.
""Hå jo da,"" sa Giles.
""Der sa du noe usant, herr Giles,"" sa Brittles.
""Der løy du, Brittles,"" sa Giles.",270,"""Du er redd, Brittles.""
""Nehei.""
""Hå jo da.""
""Der sa du noe usant, herr Giles.""
""Der løy du, Brittles.""",
OT_27,OT,40,1,Rose,Nancy,5,no,no,yes,yes,yes,"“For what purpose?”
“He caught sight of my shadow on the wall as I listened, in the hope of finding out; and there are not many people besides me that could have got out of their way in time to escape discovery. But I did; and I saw him no more till last night.”
“And what occurred then?”
“I’ll tell you, ***. Last night he came again. Again they went upstairs, and I, wrapping myself up so that my shadow would not betray me, again listened at the door. The first words I heard Glen say were these: ‘So the only proofs of the boy’s identity lie at the bottom of the river, and the old hag that received them from the mother is rotting in her coffin.’ They laughed, and talked of his success in doing this; and Glen, talking on about the boy, and getting very wild, said that though he had got the young devil’s money safely now, he’d rather have had it the other way; for, what a game it would have been to have brought down the boast of the father’s will, by driving him through every jail in town, and then hauling him up for some capital felony which Acker could easily manage, after having made a good profit of him besides.”
“What is all this!”","Monks=Glen, Fagin=Acker, Lady left out (***)",,in,"""Hva slags grunn?"" spurte Rose. ""'N skimta skyggen min på veggen mens jeg lytta og prøvde å få vite det,"" sa jenta. ""Og det er'kke mange andre enn meg som hadde smetti unna uten å bli oppdaga. Men det greide jeg, og siden har jeg ikke sett'n før i kveld."" ""Og hva skjedde så?"" ""Det skal jeg si Dere, frøken. I kveld kom'n igjen. Og dem gikk opp trappa igjen, og jeg pakka meg inn så ikke skyggen sku røpe meg og lytta ved døra igjen. Det første jeg hørte Monks si, var detta: 'Så det eneste beviset på guttens identitet ligger på elvebånn, og den gamle heksa som fikk det av mora ligger og råtner i kista.' Så lo dem og snakka om så fint'n hadde årna det. Og Monks fortsatte å snakke om gutten og bynte å bli ganske vill; 'n sa at sjøl om'n nå hadde fått kloa trygt i penga til den unge rakkaren,vlle'n heller årna det på den andre måten; for det skulle vært'n en sann svir å få velta skrytet i testamentet til far hans ved å jage'n innom hvert fensel i byen, og til slutt få'n hekta for et eller anna med dødsstraff. Og det kunne Fagin lett fikse, når'n først hadde tjent godt på'n underveis."" ""Hva er alt dette!"" sa Rose.",397,"""Hva slags grunn?"" 
“'N skimta skyggen min på veggen mens jeg lytta og prøvde å få vite det. Og det er'kke mange andre enn meg som hadde smetti unna uten å bli oppdaga. Men det greide jeg, og siden har jeg ikke sett'n før i kveld."" 
""Og hva skjedde så?"" 
""Det skal jeg si Dere, frøken. I kveld kom'n igjen. Og dem gikk opp trappa igjen, og jeg pakka meg inn så ikke skyggen sku røpe meg og lytta ved døra igjen. Det første jeg hørte Monks si, var detta: 'Så det eneste beviset på guttens identitet ligger på elvebånn, og den gamle heksa som fikk det av mora ligger og råtner i kista.' Så lo dem og snakka om så fint'n hadde årna det. Og Monks fortsatte å snakke om gutten og bynte å bli ganske vill; 'n sa at sjøl om'n nå hadde fått kloa trygt i penga til den unge rakkaren, vlle'n heller årna det på den andre måten; for det skulle vært'n en sann svir å få velta skrytet i testamentet til far hans ved å jage'n innom hvert fensel i byen, og til slutt få'n hekta for et eller anna med dødsstraff. Og det kunne Fagin lett fikse, når'n først hadde tjent godt på'n underveis."" 
""Hva er alt dette!""
",
OT_17,OT,34,1,Mrs. Maylie,Harry,5,no,no,yes,yes,no,"“By and by; when I leave Lis.”
“You will tell her I am here?”
“Of course.” 
“And say how anxious I have been, and how much I have suffered, and how I long to see her. You will not refuse to do this, mother?”
“No; I will tell her all.”",Rose=Lis,,in,"""Før eller siden,"" svarte hun, ""når jeg er ferdig hos Rose."" ""Du sier vel at jeg er her?"" sa han. ""Ja, selvfølgelig,"" svarte fru Maylie. ""Og si hvor engstelig jeg har vært, hvordan jeg har lidd, at jeg lengter etter å se henne - du vil vel ikke nekte å si dete, mor?"" ""Nei,"" sa den gamle damen. ""Jeg skal si det til henne."" ",330,"""Før eller siden, når jeg er ferdig hos Rose."" 
""Du sier vel at jeg er her?"" 
""Ja, selvfølgelig."" 
""Og si hvor engstelig jeg har vært, hvordan jeg har lidd, at jeg lengter etter å se henne - du vil vel ikke nekte å si dete, mor?"" 
""Nei. Jeg skal si det til henne.""",
OT_10,OT,14,2,Mr. Brownlow,Mr. Grimwig,6,no,no,yes,yes,no,"“Don’t know?”
“No. I don’t know. I never see any difference in boys. I only knew two sort of boys. Mealy boys, and beef-faced boys.”
“And which is Thomas?”
“Mealy. I know a friend who has a beef-faced boy; a fine boy, they call him; with a round head, and red cheeks, and glaring eyes; a horrid boy; with a body and limbs that appear to be swelling out of the seams of his blue clothes; with the voice of a pilot, and the appetite of a wolf. I know him! The wretch!”
“Come, these are not the characteristics of young Thomas Smith; so he needn’t excite your wrath.”
“They are not. He may have worse.”",Oliver Twist = Thomas Smith,,in,"""Vet ikke?"" ""Nei, jeg vet ikke. Jeg har aldri sett noen forskjell på gutter. Jeg vet bare om to slags gutter - bleikfiser og bifftryner."" ""Hvilken slags er Oliver, da?"" ""Bleikfis. Jeg har en venn som har  en gutt med bifftryne. En fin gutt, kaller de ham, med rundt hode, røde kinn og glaneøyne - ufyselig gutt, med kropp og lemmer som ser ut so de skal tyte ut gjennom blåtøyet - med stemme som en los og appetitt som en ulv. Jo takk, jeg kjenner ham, lømmelen!"" ""Gi deg nå,"" sa herr Brownlow, ""ingenting av dette passer på Oliver Twist, så ham behøver du ikke bli sint på."" ""Nei vel, så passer det ikke,"" sa Grimwig. ""Han kan være verre."" ",135,"""Vet ikke?""
""Nei, jeg vet ikke. Jeg har aldri sett noen forskjell på gutter. Jeg vet bare om to slags gutter - bleikfiser og bifftryner."" 
""Hvilken slags er Oliver, da?"" 
""Bleikfis. Jeg har en venn som har en gutt med bifftryne. En fin gutt, kaller de ham, med rundt hode, røde kinn og glaneøyne - ufyselig gutt, med kropp og lemmer som ser ut som de skal tyte ut gjennom blåtøyet - med stemme som en los og appetitt som en ulv. Jo takk, jeg kjenner ham, lømmelen!"" 
""Gi deg nå, ingenting av dette passer på Oliver Twist, så ham behøver du ikke bli sint på."" 
""Nei vel, så passer det ikke. Han kan være verre.""
","blåøyet I'm pretty sure ""blåtøyet"" is correct, even though it is not a common term; otherwise the expression wouldn't make sense (muscles seeping through the blue cloth/garment/shirt - ""tøyet"" - not through the eye ""øyet"")"
